"rewardDate","validator","validatorName","startEpoch","endEpoch","epochRange","epochsInDay","previousDayRewards","endOfDayRewards","dailyRewards","usd","gbp","eur","jpy","cny","inr","aud","krw"
"2022-01-12","rv1qdpk5akfjwyqrdmgf3ap2djcyvafuqvaenyjumfq2hht2ev2jlc5x6sjfzf","➕radix.plus➕","6130","6169","6130-6169","40","6516.903813492419","6542.245290667051","25.34147717463202","0.2242728","0.1641265","0.19677070000000005","25.808250000000005","1.4272500000000004","16.561500000000002","0.30971095000000004",""
"2022-01-13","rv1qdpk5akfjwyqrdmgf3ap2djcyvafuqvaenyjumfq2hht2ev2jlc5x6sjfzf","➕radix.plus➕","6170","6207","6170-6207","38","6542.245290667051","6566.2203308435855","23.975040176534094","0.23257673684210523","0.1694928421052632","0.20300473684210524","26.600789473684213","1.479210526315789","17.190263157894734","0.3189397631578948",""
"2022-01-14","rv1qdpk5akfjwyqrdmgf3ap2djcyvafuqvaenyjumfq2hht2ev2jlc5x6sjfzf","➕radix.plus➕","6208","6245","6208-6245","38","6566.2203308435855","6588.700864827988","22.480533984402427","0.23091050000000002","0.1684974736842105","0.20176092105263158","26.303421052631574","1.4673684210526314","17.111315789473686","0.3185087631578947",""
"2022-01-15","rv1qdpk5akfjwyqrdmgf3ap2djcyvafuqvaenyjumfq2hht2ev2jlc5x6sjfzf","➕radix.plus➕","6246","6282","6246-6282","36","6588.700864827988","6611.638274882309","22.937410054320935","0.23615400000000003","0.17268358333333333","0.20687491666666669","26.97638888888889","1.5005555555555556","17.51166666666667","0.32767313888888894",""
"2022-01-16","rv1qdpk5akfjwyqrdmgf3ap2djcyvafuqvaenyjumfq2hht2ev2jlc5x6sjfzf","➕radix.plus➕","6283","6320","6283-6320","36","6611.638274882309","6635.595739822791","23.95746494048217","0.24256602777777778","0.17737311111111112","0.21249183333333338","27.70722222222222","1.5399999999999998","17.988611111111112","0.33660236111111114",""
"2022-01-17","rv1qdpk5akfjwyqrdmgf3ap2djcyvafuqvaenyjumfq2hht2ev2jlc5x6sjfzf","➕radix.plus➕","6321","6363","6321-6363","22","6635.595739822791","6663.149217350845","27.553477528053918","0.21735218181818186","0.15921536363636368","0.19051918181818178","24.902272727272724","1.3804545454545456","16.14363636363636","0.30132495454545455","11.868181818181819"
"2022-01-18","rv1qdpk5akfjwyqrdmgf3ap2djcyvafuqvaenyjumfq2hht2ev2jlc5x6sjfzf","➕radix.plus➕","6364","6404","6364-6404","41","6663.149217350845","6689.375064619948","26.225847269102815","0.21167360975609756","0.1554577804878049","0.18610626829268292","24.270731707317072","1.344390243902439","15.766097560975611","0.29430758536585366","6.000975609756098"
"2022-01-19","rv1qdpk5akfjwyqrdmgf3ap2djcyvafuqvaenyjumfq2hht2ev2jlc5x6sjfzf","➕radix.plus➕","6405","6448","6405-6448","44","6689.375064619948","6717.506327574491","28.131262954542763","0.2046726363636364","0.15032700000000002","0.18050531818181823","23.419545454545457","1.2995454545454537","15.245454545454542","0.28401152272727265","5.591818181818182"
"2022-01-20","rv1qdpk5akfjwyqrdmgf3ap2djcyvafuqvaenyjumfq2hht2ev2jlc5x6sjfzf","➕radix.plus➕","6449","6491","6449-6491","41","6717.506327574491","6745.1023484441685","27.596020869677886","0.20734529268292684","0.15220548780487803","0.18286031707317071","23.684634146341462","1.314878048780488","15.428048780487806","0.2863991707317073","6.013414634146342"
"2022-01-21","rv1qdpk5akfjwyqrdmgf3ap2djcyvafuqvaenyjumfq2hht2ev2jlc5x6sjfzf","➕radix.plus➕","6492","6535","6492-6535","40","6745.1023484441685","6773.4527413666365","28.350392922468018","0.1863393","0.13730504999999998","0.16437564999999998","21.198749999999997","1.1814999999999993","13.866999999999996","0.25910692499999993","4.8957500000000005"
"2022-01-22","rv1qdpk5akfjwyqrdmgf3ap2djcyvafuqvaenyjumfq2hht2ev2jlc5x6sjfzf","➕radix.plus➕","6536","6577","6536-6577","38","6773.4527413666365","6800.514913419596","27.062172052959795","0.1664606052631579","0.12279042105263158","0.14672928947368416","18.926052631578948","1.0556708157894736","12.387368421052635","0.23185781578947373","5.133157894736843"
"2022-01-23","rv1qdpk5akfjwyqrdmgf3ap2djcyvafuqvaenyjumfq2hht2ev2jlc5x6sjfzf","➕radix.plus➕","6578","6621","6578-6621","42","6800.514913419596","6828.8539238190715","28.339010399475228","0.16776104761904764","0.1237629285714286","0.14786183333333333","19.074047619047626","1.0635714285714288","12.484523809523811","0.23368350000000002","5.001904761904762"
"2022-01-24","rv1qdpk5akfjwyqrdmgf3ap2djcyvafuqvaenyjumfq2hht2ev2jlc5x6sjfzf","➕radix.plus➕","6622","6664","6622-6664","42","6828.8539238190715","6856.548125535424","27.694201716352836","0.16506764285714287","0.1221749761904762","0.14579095238095238","18.788571428571426","1.045076785714286","12.30952380952381","0.2309788809523809","4.78952380952381"
"2022-01-25","rv1qdpk5akfjwyqrdmgf3ap2djcyvafuqvaenyjumfq2hht2ev2jlc5x6sjfzf","➕radix.plus➕","6665","6706","6665-6706","38","6856.548125535424","6883.5556410400895","27.007515504665207","0.1608246842105263","0.11927318421052631","0.14237997368421051","18.317105263157895","1.0179209210526314","12.018684210526315","0.22512660526315792","5.034736842105263"
"2022-01-26","rv1qdpk5akfjwyqrdmgf3ap2djcyvafuqvaenyjumfq2hht2ev2jlc5x6sjfzf","➕radix.plus➕","6707","6748","6707-6748","42","6883.5556410400895","6910.60290445984","27.04726341975038","0.16575819047619045","0.12273747619047617","0.1468559047619048","18.924047619047617","1.0466666666666666","12.409047619047621","0.23153964285714282","4.844761904761905"
