rewardDate,validator,validatorName,startEpoch,endEpoch,epochRange,epochsInDay,previousDayRewards,endOfDayRewards,dailyRewards,rewardCurrency
2022-04-11 23:59:59,rv1qdhvu7wf7ajpvhn8j4m9ptznkaktl5cru2lr5ep9qvze9e5sjqdxxhz9m3h,🔥 EasyStake (🇸🇬 SG),10137,10192,10137-10192,56,1117.0289330756023,1130.0911572517944,13.062224176192103,EXRD
2022-04-11 23:59:59,rv1qdpk5akfjwyqrdmgf3ap2djcyvafuqvaenyjumfq2hht2ev2jlc5x6sjfzf,➕radix.plus➕,10137,10192,10137-10192,56,9099.350148437152,9136.541129902456,37.1909814653045,EXRD
2022-04-11 23:59:59,rv1qdx65px2g9j3gv9mq8vw0t6000zuvhydmgtthdjyf9ksnmu6ht6r2zaeq0f,⚡️Allnodes.com,10137,10192,10137-10192,56,5872.022646968537,5895.873727112063,23.851080143525905,EXRD
2022-04-11 23:59:59,rv1qfxktwkq9amdh678cxfynzt4zeua2tkh8nnrtcjpt7fyl0lmu8r3urllukm,🚀 Florian Pieper Staking,10137,10192,10137-10192,56,813.996201878068,827.7871686250037,13.790966746935737,EXRD
2022-04-11 23:59:59,rv1qgaftlzpdxaacv3jmf0x9vlys3ap0mngfea8gsedph4ckaya0gqe6h9mv6f,✅RadCrew,10137,10192,10137-10192,56,1350.941387973652,1350.9413881575929,1.8394098333374131e-7,EXRD
2022-04-11 23:59:59,rv1qtu7r2f82qmzphsgw5mug3vzxenzfwrhpyf9rja5ckp2k06ca5duu63guaa,🐱 Ocinode,10137,10192,10137-10192,56,2267.6994153309715,2292.787952691673,25.088537360701594,EXRD
2022-04-11 23:59:59,rv1qwjgznknyz0e40nfg69y553rv3g85w6pc5kyfn76ckrkyyql4vc863xcfut,✔️RadixStake,10137,10192,10137-10192,56,8937.896648153066,8975.068227438227,37.17157928516099,EXRD
2022-04-12 23:59:59,rv1qd0060jej9x0upkp6fdrednv8ct2yvdf2ydxm5a9t9ea63tp09c6u0ev6t8, 🧛 ‍RadixStaker 🧛‍ - Stake the vampire!,10193,10247,10193-10247,54,1846.3556000034441,1865.8565828419378,19.500982838493655,EXRD
2022-04-12 23:59:59,rv1qdhvu7wf7ajpvhn8j4m9ptznkaktl5cru2lr5ep9qvze9e5sjqdxxhz9m3h,🔥 EasyStake (🇸🇬 SG),10193,10247,10193-10247,54,1130.0911572517944,1142.9158864429664,12.824729191172082,EXRD
2022-04-12 23:59:59,rv1qdpk5akfjwyqrdmgf3ap2djcyvafuqvaenyjumfq2hht2ev2jlc5x6sjfzf,➕radix.plus➕,10193,10247,10193-10247,54,9136.541129902456,9173.062214160353,36.52108425789629,EXRD
2022-04-12 23:59:59,rv1qdx65px2g9j3gv9mq8vw0t6000zuvhydmgtthdjyf9ksnmu6ht6r2zaeq0f,⚡️Allnodes.com,10193,10247,10193-10247,54,5895.873727112063,5919.3086098037165,23.43488269165391,EXRD
2022-04-12 23:59:59,rv1qfxktwkq9amdh678cxfynzt4zeua2tkh8nnrtcjpt7fyl0lmu8r3urllukm,🚀 Florian Pieper Staking,10193,10247,10193-10247,54,827.7871686250037,841.3218627572351,13.53469413223138,EXRD
2022-04-12 23:59:59,rv1qgaftlzpdxaacv3jmf0x9vlys3ap0mngfea8gsedph4ckaya0gqe6h9mv6f,✅RadCrew,10193,10247,10193-10247,54,1350.9413881575929,1350.9413883382479,1.8065497897623572e-7,EXRD
2022-04-12 23:59:59,rv1qtu7r2f82qmzphsgw5mug3vzxenzfwrhpyf9rja5ckp2k06ca5duu63guaa,🐱 Ocinode,10193,10247,10193-10247,54,2292.787952691673,2317.410134967926,24.622182276252715,EXRD
2022-04-12 23:59:59,rv1qwjgznknyz0e40nfg69y553rv3g85w6pc5kyfn76ckrkyyql4vc863xcfut,✔️RadixStake,10193,10247,10193-10247,54,8975.068227438227,9011.561554339321,36.493326901094406,EXRD
2022-04-13 23:59:59,rv1qd0060jej9x0upkp6fdrednv8ct2yvdf2ydxm5a9t9ea63tp09c6u0ev6t8, 🧛 ‍RadixStaker 🧛‍ - Stake the vampire!,10248,10303,10248-10303,44,1865.8565828419378,1885.604622011415,19.748039169477124,EXRD
